tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-BRISBANEIN,Brisbane International,Hard,,A,20241229,1,126846,,,Vukic A.,R,188.0,AUS,,105676,,,Goffin D.,R,180.0,BEL,,6-2 6-3,3,1st Round,,,,,,,,,,,,,,,,,,,,68,778,52.0,1037.0
2025-BRISBANEIN,Brisbane International,Hard,,A,20241230,2,210506,,,Michelsen A.,R,193.0,USA,,143199,,,O Connell C.,U,,USA,,6-4 4-6 7-6,3,1st Round,,,,,,,,,,,,,,,,,,,,41,1245,64.0,795.0
2025-BRISBANEIN,Brisbane International,Hard,,A,20241230,3,130483,,,Bonzi B.,U,,ITA,,126214,,,Tabilo A.,L,188.0,CHI,,6-7 7-6 6-4,3,1st Round,,,,,,,,,,,,,,,,,,,,75,730,23.0,1943.0
2025-BRISBANEIN,Brisbane International,Hard,,A,20241230,4,208506,,,Nishioka Y.,U,,JPN,,126239,,,Rinderknech A.,R,196.0,FRA,,6-3 6-4,3,1st Round,,,,,,,,,,,,,,,,,,,,69,776,59.0,927.0
2025-BRISBANEIN,Brisbane International,Hard,,A,20241230,5,212384,,,Thompson J.,U,,USA,,202235,,,Berrettini M.,R,193.0,ITA,,3-6 6-3 6-4,3,1st Round,,,,,,,,,,,,,,,,,,,,26,1745,34.0,1380.0
2025-BRISBANEIN,Brisbane International,Hard,,A,20241230,6,111797,,,Jarry N.,R,201.0,CHI,,208363,,,Navone M.,R,178.0,ARG,,7-5 7-6,3,1st Round,,,,,,,,,,,,,,,,,,,,35,1370,47.0,1148.0
2025-BRISBANEIN,Brisbane International,Hard,,A,20241230,7,209317,,,Dimitrov G.,U,,BUL,,105870,,,Hanfmann Y.,R,193.0,GER,,7-6 6-3,3,1st Round,,,,,,,,,,,,,,,,,,,,10,3350,96.0,627.0
2025-BRISBANEIN,Brisbane International,Hard,,A,20241230,8,208103,,,Lehecka J.,R,185.0,CZE,,208029,,,Rune H.,R,188.0,DEN,,7-5 6-3,3,1st Round,,,,,,,,,,,,,,,,,,,,28,1660,13.0,3025.0
2025-BRISBANEIN,Brisbane International,Hard,,A,20241231,9,124187,,,Opelka R.,R,211.0,USA,,206764,,,Gomez F.,U,,COL,,7-5 6-4,3,1st Round,,,,,,,,,,,,,,,,,,,,293,176,137.0,442.0
2025-BRISBANEIN,Brisbane International,Hard,,A,20241231,10,208286,,,Arnaldi M.,R,185.0,ITA,,202270,,,Popyrin A.,R,185.0,AUS,,6-3 6-2,3,1st Round,,,,,,,,,,,,,,,,,,,,37,1345,24.0,1865.0
